,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Juke,1.0 Dig-t N-design Black 4x2 Dct 7 114,2023,03,10 km,Gasolina,114 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-n-design-black-4x2-dct-7-114-en-barcelona.htm?id=8013517,28500
1,Nissan,Micra,1.0 G Visia 70,2017,,81.000 km,Gasolina,70 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-10-g-visia-70-en-madrid.htm?id=8128738,7990
2,Nissan,Juke,1.0 Dig-t Acenta 4x2 114,2018,12,122.049 km,Gasolina,114 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-acenta-4x2-114-en-madrid.htm?id=7981490,13600
3,Nissan,Qashqai,1.3 Dig-t N-connecta 4x2 117kw,2019,04,62.978 km,Gasolina,160 CV,manual,5 puertas,Bronce,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-n-connecta-4x2-117kw-en-barcelona.htm?id=8030937,19400
4,Nissan,Juke,1.0 Dig-t Acenta 4x2 114,2022,05,4.567 km,Gasolina,114 CV,manual,5 puertas,Otros,Profesional,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-acenta-4x2-114-en-barcelona.htm?id=7827569,20990
5,Nissan,Micra,1.2 Visia,2005,,62.000 km,Gasolina,65 CV,manual,5 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-12-visia-en-zaragoza.htm?id=8082193,4950
6,Nissan,X-Trail,1.6 Dig-t N-connecta 4x2,2018,01,77.779 km,Gasolina,163 CV,manual,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-16-dig-t-n-connecta-4x2-en-tarragona.htm?id=8059711,22990
7,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2020,,92.598 km,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-madrid.htm?id=8050261,18240
8,Nissan,Juke,1.6i Acenta,2012,,98.000 km,Gasolina,117 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-16i-acenta-en-zaragoza.htm?id=8040834,9950
9,Nissan,Qashqai,1.6 Acenta 4x2,2009,,99.500 km,Gasolina,115 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-16-acenta-4x2-en-zaragoza.htm?id=8005897,8950
10,Nissan,Juke,1.0 Dig-t Acenta 4x2 Dct 7 114,2022,05,4.600 km,Gasolina,114 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-acenta-4x2-dct-7-114-en-barcelona.htm?id=7924322,21900
11,Nissan,Juke,1.0 Dig-t Acenta 4x2 Dct 7 114,2022,05,5.220 km,Gasolina,114 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-acenta-4x2-dct-7-114-en-barcelona.htm?id=7827193,21900
12,Nissan,Juke,1.0 Dig-t N-connecta 4x2 Dct 7 114,2022,05,4.670 km,Gasolina,114 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-n-connecta-4x2-dct-7-114-en-barcelona.htm?id=7826555,21900
13,Nissan,Juke,1.6 Dig-t Nismo 200,2014,01,128.725 km,Gasolina,200 CV,manual,5 puertas,Lunar White Metalizado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-16-dig-t-nismo-200-en-vizcaya.htm?id=8110778,14900
14,Nissan,Juke,1.5dci Acenta 4x2,2015,,129.000 km,Diesel,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-15dci-acenta-4x2-en-madrid.htm?id=8073938,10990
15,Nissan,Juke,1.0 Dig-t Tekna 4x2 Dct 7 114,2023,10,10 km,Gasolina,114 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-tekna-4x2-dct-7-114-en-barcelona.htm?id=8058320,28500
16,Nissan,Juke,1.0 Dig-t Tekna 4x2 Dct 7 114,2023,09,1 km,Gasolina,114 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-tekna-4x2-dct-7-114-en-barcelona.htm?id=8033795,28700
17,Nissan,Qashqai,1.5dci N-connecta 4x2 85kw,2019,07,86.565 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-n-connecta-4x2-85kw-en-cordoba.htm?id=8023129,20900
18,Nissan,Qashqai,1.5dci N-connecta 4x2 85kw,2019,,138.663 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-n-connecta-4x2-85kw-en-jaen.htm?id=8012961,17500
19,Nissan,Juke,1.0 Dig-t Tekna 4x2 Dct 7 114,2023,03,10 km,Gasolina,114 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-tekna-4x2-dct-7-114-en-barcelona.htm?id=8008660,27900
20,Nissan,Juke,1.0 Dig-t Acenta 4x2 Dct 7 117,2020,,117.383 km,Gasolina,117 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-acenta-4x2-dct-7-117-en-jaen.htm?id=7977873,17900
21,Nissan,Qashqai,1.5dci N-style 4x2 85kw,2021,,66.476 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-n-style-4x2-85kw-en-huelva.htm?id=7965765,20900
22,Nissan,Nv200,Furgón 1.5dci Basic 90 Eu6,2019,,97.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-furgon-15dci-basic-90-eu6-en-badajoz.htm?id=7956441,15990
23,Nissan,Juke,1.0 Dig-t Enigma 4x2 114,2021,03,50.690 km,Gasolina,114 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-enigma-4x2-114-en-barcelona.htm?id=7942231,19900
24,Nissan,X-Trail,1.6 Dci Acenta 4x2,2015,05,169.383 km,Diesel,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-16-dci-acenta-4x2-en-madrid.htm?id=7879874,15500
25,Nissan,X-Trail,1.6 Dci N-connecta 4x2 Xtronic,2018,,31.292 km,Diesel,130 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-16-dci-n-connecta-4x2-xtronic-en-huelva.htm?id=7862224,23950
26,Nissan,Juke,1.0 Dig-t Tekna 4x2 114,2023,04,25 km,Gasolina,114 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-tekna-4x2-114-en-barcelona.htm?id=7827221,25500
