,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
216,Renault,Master,Fg. Energy Blue Dci L2h2 3500 T 132kw,2020,,107.000 km,Diesel,180 CV,automática,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-energy-blue-dci-l2h2-3500-t-132kw-en-navarra.htm?id=7980020,20800
217,Renault,Master,Fg. Dci 81kw T L1h1 2800,2016,,87.000 km,Diesel,110 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-dci-81kw-t-l1h1-2800-en-segovia.htm?id=8106765,15004
218,Renault,Master,Fg. Dci 95kw T L2h2 3300,2018,,94.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-dci-95kw-t-l2h2-3300-en-navarra.htm?id=7735151,18000
219,Renault,Master,Fg. Dci 95kw T L1h2 3300,2017,,113.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-dci-95kw-t-l1h2-3300-en-navarra.htm?id=8129289,16900
220,Renault,Master,Combi9 Dci 92 L2h2 3500,2014,,129.000 km,Diesel,125 CV,manual,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-combi9-dci-92-l2h2-3500-en-navarra.htm?id=8129281,15800
221,Renault,Master,Fg. Dci 95kw T L1h1 3500,2018,,155.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-dci-95kw-t-l1h1-3500-en-navarra.htm?id=8120747,15900
222,Renault,Master,Fg. Dci 92 P L3h2 3500,2015,,80.000 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-dci-92-p-l3h2-3500-en-navarra.htm?id=8092758,17500
223,Renault,Master,Piso Cb. Dci 107kw T Energy L3h2 3500,2021,06,46.782 km,Diesel,145 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-piso-cb-dci-107kw-t-energy-l3h2-3500-en-pontevedra.htm?id=8058047,24300
224,Renault,Master,Gran Volumen Dci 125kw T Energy Tt L3 20m 3500,2017,,220.000 km,Diesel,170 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-gran-volumen-dci-125kw-t-energy-tt-l3-20m-3500-en-malaga.htm?id=8035380,15999
225,Renault,Master,Combi9 Dci 81 L1h1 3300,2015,02,170.823 km,Diesel,110 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-combi9-dci-81-l1h1-3300-en-sevilla.htm?id=7994837,15450
226,Renault,Master,Fg. Dci 100 T Energy Tt L2h2 3500,2016,,135.000 km,Diesel,135 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-dci-100-t-energy-tt-l2h2-3500-en-navarra.htm?id=7853755,16200
227,Renault,Master,Fg. Dci 95kw T L2h2 3300,2019,,135.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-dci-95kw-t-l2h2-3300-en-navarra.htm?id=7724812,18300
228,Renault,Master,2.5dci Com6 2800 Corto Normal 120,2008,,336.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-25dci-com6-2800-corto-normal-120-en-malaga.htm?id=8101121,21990
229,Renault,Master,Fg. Energy Blue Dci L3h2 3500 T 110kw,2020,,117.000 km,Diesel,150 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-energy-blue-dci-l3h2-3500-t-110kw-en-navarra.htm?id=8075539,20700
230,Renault,Master,Fg. Blue Dci L2h3 3500 T 99kw,2020,09,62.000 km,Diesel,135 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-blue-dci-l2h3-3500-t-99kw-en-lugo.htm?id=8074158,23900
231,Renault,Master,Fg. Dci 96kw T L2h2 3500,2019,,144.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-dci-96kw-t-l2h2-3500-en-navarra.htm?id=7877933,18600
232,Renault,Master,Fg. Dci 81kw T L2h2 3500,2017,,180.000 km,Diesel,110 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-dci-81kw-t-l2h2-3500-en-barcelona.htm?id=8128031,15490
